No,tanggal,hari,bulan,tahun,barang,nopol,netto_kg,kabkot_supplier,jenis_kendaraan_supplier
25205,04/06/2022,4,6,2022,Sampah,aa 9569 fa,400,Kabupaten Wonosobo,Kendaraan Khusus
25208,04/06/2022,4,6,2022,Sampah,aa 1737 jh,425,Kabupaten Kebumen,Mobil Pribadi
25210,04/06/2022,4,6,2022,Sampah,aa 9549 ha,3580,Kota Magelang,Kendaraan Khusus
25212,04/06/2022,4,6,2022,Sampah,aa 9582 fa,950,Kabupaten Wonosobo,Kendaraan Khusus
25215,04/06/2022,4,6,2022,Sampah,aa 9846 da,370,Kabupaten Kebumen,Kendaraan Khusus
25216,04/06/2022,4,6,2022,Sampah,aa 9569 ga,580,Kabupaten Magelang,Kendaraan Khusus
25218,04/06/2022,4,6,2022,Sampah,aa 9537 ha,3940,Kota Magelang,Kendaraan Khusus
25220,04/06/2022,4,6,2022,Sampah,aa 9829 da,480,Kabupaten Kebumen,Kendaraan Khusus
25221,04/06/2022,4,6,2022,Sampah,aa 9532 ha,1900,Kota Magelang,Kendaraan Khusus
25222,04/06/2022,4,6,2022,Sampah,aa 9530 ha,3910,Kota Magelang,Kendaraan Khusus
25223,03/06/2022,3,6,2022,Sampah,aa 9532 ha,1940,Kota Magelang,Kendaraan Khusus
25224,03/06/2022,3,6,2022,Sampah,aa 9574 fa,360,Kabupaten Wonosobo,Kendaraan Khusus
25226,03/06/2022,3,6,2022,Sampah Terpilah,aa 1917 dh,430,Kabupaten Kebumen,Mobil Pribadi
25232,03/06/2022,3,6,2022,Sampah Terpilah,ad 1939 qg,270,Kabupaten Klaten,Mobil Pribadi
25233,03/06/2022,3,6,2022,Sampah,aa 1737 jh,335,Kabupaten Kebumen,Mobil Pribadi
25234,03/06/2022,3,6,2022,Sampah,aa 9579 fa,1240,Kabupaten Wonosobo,Kendaraan Khusus
25235,03/06/2022,3,6,2022,Sampah,aa 9531 ha,4200,Kota Magelang,Kendaraan Khusus
25237,03/06/2022,3,6,2022,Sampah,aa 9873 da,170,Kabupaten Kebumen,Kendaraan Khusus
25238,03/06/2022,3,6,2022,Sampah,aa 9664 da,490,Kabupaten Kebumen,Kendaraan Khusus
25240,03/06/2022,3,6,2022,Sampah,aa 9848 da,180,Kabupaten Kebumen,Kendaraan Khusus
25241,03/06/2022,3,6,2022,Sampah,aa 9845 da,220,Kabupaten Kebumen,Kendaraan Khusus
25244,03/06/2022,3,6,2022,Sampah,aa 9829 da,270,Kabupaten Kebumen,Kendaraan Khusus
25247,03/06/2022,3,6,2022,Sampah,aa 9530 kh,2460,Kabupaten Magelang,Kendaraan Khusus
25248,03/06/2022,3,6,2022,Sampah,aa 9568 fa,1060,Kabupaten Wonosobo,Kendaraan Khusus
25250,03/06/2022,3,6,2022,Sampah,aa 9570 fa,1050,Kabupaten Wonosobo,Kendaraan Khusus
25251,03/06/2022,3,6,2022,Sampah,aa 9569 fa,440,Kabupaten Wonosobo,Kendaraan Khusus
25253,03/06/2022,3,6,2022,Sampah,aa 9549 ha,3870,Kota Magelang,Kendaraan Khusus
25255,03/06/2022,3,6,2022,Sampah,aa 9532 ha,2970,Kota Magelang,Kendaraan Khusus
25256,03/06/2022,3,6,2022,Sampah,aa 9571 fa,1000,Kabupaten Wonosobo,Kendaraan Khusus
25260,03/06/2022,3,6,2022,Sampah,aa 9569 ga,650,Kabupaten Magelang,Kendaraan Khusus
25265,03/06/2022,3,6,2022,Sampah,aa 9530 ha,3700,Kota Magelang,Kendaraan Khusus
25267,03/06/2022,3,6,2022,Sampah,aa 9848 da,370,Kabupaten Kebumen,Kendaraan Khusus
25268,03/06/2022,3,6,2022,Sampah,aa 9582 fa,650,Kabupaten Wonosobo,Kendaraan Khusus
25270,03/06/2022,3,6,2022,Sampah,aa 9846 da,260,Kabupaten Kebumen,Kendaraan Khusus
25272,02/06/2022,2,6,2022,Sampah,ab 9699 we,1775,Kabupaten Gunungkidul,Kendaraan Khusus
25275,02/06/2022,2,6,2022,Sampah,aa 9532 ha,1670,Kota Magelang,Kendaraan Khusus
25276,02/06/2022,2,6,2022,Sampah,aa 9574 fa,370,Kabupaten Wonosobo,Kendaraan Khusus
25279,02/06/2022,2,6,2022,Sampah,aa 9872 da,350,Kabupaten Kebumen,Kendaraan Khusus
25280,02/06/2022,2,6,2022,Sampah,aa 1902 wd,400,Kabupaten Kebumen,Mobil Pribadi
25281,02/06/2022,2,6,2022,Sampah,aa 9578 fa,1180,Kabupaten Wonosobo,Kendaraan Khusus
25283,02/06/2022,2,6,2022,Sampah,aa 9569 ga,890,Kabupaten Magelang,Kendaraan Khusus
25285,02/06/2022,2,6,2022,Sampah,aa 9579 fa,1160,Kabupaten Wonosobo,Kendaraan Khusus
25286,02/06/2022,2,6,2022,Sampah,aa 9536 ha,560,Kota Magelang,Kendaraan Khusus
25287,02/06/2022,2,6,2022,Sampah,aa 9536 ha,750,Kota Magelang,Kendaraan Khusus
25289,02/06/2022,2,6,2022,Sampah,aa 9849 da,460,Kabupaten Kebumen,Kendaraan Khusus
25291,02/06/2022,2,6,2022,Sampah,aa 9580 fa,760,Kabupaten Wonosobo,Kendaraan Khusus
25295,02/06/2022,2,6,2022,Sampah,aa 9849 da,190,Kabupaten Kebumen,Kendaraan Khusus
25296,02/06/2022,2,6,2022,Sampah,aa 9873 da,350,Kabupaten Kebumen,Kendaraan Khusus
25298,02/06/2022,2,6,2022,Sampah,aa 9569 fa,520,Kabupaten Wonosobo,Kendaraan Khusus
25299,02/06/2022,2,6,2022,Sampah,aa 9876 da,200,Kabupaten Kebumen,Kendaraan Khusus
25300,02/06/2022,2,6,2022,Sampah,aa 9578 fa,1920,Kabupaten Wonosobo,Kendaraan Khusus
25301,02/06/2022,2,6,2022,Sampah,aa 1737 jh,485,Kabupaten Kebumen,Mobil Pribadi
25306,02/06/2022,2,6,2022,Sampah,aa 9577 fa,1370,Kabupaten Wonosobo,Kendaraan Khusus
25307,02/06/2022,2,6,2022,Sampah,aa 9530 kh,2020,Kabupaten Magelang,Kendaraan Khusus
25311,02/06/2022,2,6,2022,Sampah,aa 9571 fa,830,Kabupaten Wonosobo,Kendaraan Khusus
25312,02/06/2022,2,6,2022,Sampah,aa 9830 da,410,Kabupaten Kebumen,Kendaraan Khusus
25321,02/06/2022,2,6,2022,Sampah,aa 9552 aa,2230,Kota Magelang,Kendaraan Khusus
25322,02/06/2022,2,6,2022,Sampah,aa 9831 da,80,Kabupaten Kebumen,Kendaraan Khusus
25325,02/06/2022,2,6,2022,Sampah,aa 9530 ha,3160,Kota Magelang,Kendaraan Khusus
25327,02/06/2022,2,6,2022,Sampah,aa 9532 ha,1980,Kota Magelang,Kendaraan Khusus
25328,02/06/2022,2,6,2022,Sampah,aa 9569 ga,400,Kabupaten Magelang,Kendaraan Khusus
25329,02/06/2022,2,6,2022,Sampah,aa 9538 ha,2150,Kota Magelang,Kendaraan Khusus
25330,02/06/2022,2,6,2022,Sampah,aa 9829 da,400,Kabupaten Kebumen,Kendaraan Khusus
25331,02/06/2022,2,6,2022,Sampah,aa 9582 fa,1030,Kabupaten Wonosobo,Kendaraan Khusus
25335,01/06/2022,1,6,2022,Sampah,ab 9699 we,1345,Kabupaten Gunungkidul,Kendaraan Khusus
25336,01/06/2022,1,6,2022,Sampah,aa 9532 ha,2340,Kota Magelang,Kendaraan Khusus
25339,01/06/2022,1,6,2022,Sampah,aa 9574 fa,410,Kabupaten Wonosobo,Kendaraan Khusus
25340,01/06/2022,1,6,2022,Sampah,aa 1737 jh,1015,Kabupaten Kebumen,Mobil Pribadi
25341,01/06/2022,1,6,2022,Sampah,aa 9579 fa,1090,Kabupaten Wonosobo,Kendaraan Khusus
25344,01/06/2022,1,6,2022,Sampah,aa 9530 kh,2480,Kabupaten Magelang,Kendaraan Khusus
25345,01/06/2022,1,6,2022,Sampah,aa 9846 da,470,Kabupaten Kebumen,Kendaraan Khusus
25347,01/06/2022,1,6,2022,Sampah,aa 9568 fa,1280,Kabupaten Wonosobo,Kendaraan Khusus
25349,01/06/2022,1,6,2022,Sampah,aa 9582 fa,1720,Kabupaten Wonosobo,Kendaraan Khusus
25351,01/06/2022,1,6,2022,Sampah,aa 9549 ha,3560,Kota Magelang,Kendaraan Khusus
25353,31/05/2022,31,5,2022,Sampah,aa 9530 ha,1540,Kota Magelang,Kendaraan Khusus
25354,31/05/2022,31,5,2022,Sampah,aa 9538 ha,1320,Kota Magelang,Kendaraan Khusus
25355,31/05/2022,31,5,2022,Sampah,aa 9568 fa,140,Kabupaten Wonosobo,Kendaraan Khusus
25356,31/05/2022,31,5,2022,Sampah,aa 9873 da,500,Kabupaten Kebumen,Kendaraan Khusus
25358,31/05/2022,31,5,2022,Sampah,aa 9579 fa,1320,Kabupaten Wonosobo,Kendaraan Khusus
25360,31/05/2022,31,5,2022,Sampah,aa 1737 jh,605,Kabupaten Kebumen,Mobil Pribadi
25361,31/05/2022,31,5,2022,Sampah,aa 9849 da,790,Kabupaten Kebumen,Kendaraan Khusus
25362,31/05/2022,31,5,2022,Sampah,aa 9876 da,360,Kabupaten Kebumen,Kendaraan Khusus
25363,31/05/2022,31,5,2022,Sampah,aa 9578 fa,1960,Kabupaten Wonosobo,Kendaraan Khusus
25365,31/05/2022,31,5,2022,Sampah,aa 9580 fa,830,Kabupaten Wonosobo,Kendaraan Khusus
25369,31/05/2022,31,5,2022,Sampah,aa 9530 kh,2200,Kabupaten Magelang,Kendaraan Khusus
25371,31/05/2022,31,5,2022,Sampah,aa 9538 ha,4110,Kota Magelang,Kendaraan Khusus
25372,31/05/2022,31,5,2022,Sampah,aa 9549 ha,4170,Kota Magelang,Kendaraan Khusus
25373,31/05/2022,31,5,2022,Sampah,aa 9569 fa,300,Kabupaten Wonosobo,Kendaraan Khusus
25374,31/05/2022,31,5,2022,Sampah,aa 9530 ha,4000,Kota Magelang,Kendaraan Khusus
25376,31/05/2022,31,5,2022,Sampah,aa 9569 ga,1100,Kabupaten Magelang,Kendaraan Khusus
25379,31/05/2022,31,5,2022,Sampah,aa 9568 fa,840,Kabupaten Wonosobo,Kendaraan Khusus
25381,31/05/2022,31,5,2022,Sampah Terpilah,aa 1917 dh,880,Kabupaten Kebumen,Mobil Pribadi
25383,31/05/2022,31,5,2022,Sampah,aa 9532 ha,2140,Kota Magelang,Kendaraan Khusus
25385,31/05/2022,31,5,2022,Sampah,aa 9582 fa,790,Kabupaten Wonosobo,Kendaraan Khusus
25390,31/05/2022,31,5,2022,Sampah,aa 9829 da,330,Kabupaten Kebumen,Kendaraan Khusus
25391,30/05/2022,30,5,2022,Sampah,aa 9532 da,200,Kabupaten Kebumen,Kendaraan Khusus
25392,30/05/2022,30,5,2022,Sampah,aa 9574 fa,360,Kabupaten Wonosobo,Kendaraan Khusus
25393,30/05/2022,30,5,2022,Sampah,aa 9873 da,280,Kabupaten Kebumen,Kendaraan Khusus
25395,30/05/2022,30,5,2022,Sampah,aa 9831 da,300,Kabupaten Kebumen,Kendaraan Khusus
25396,30/05/2022,30,5,2022,Sampah,aa 9536 ha,410,Kota Magelang,Kendaraan Khusus
25399,30/05/2022,30,5,2022,Sampah,aa 9876 da,330,Kabupaten Kebumen,Kendaraan Khusus
25402,30/05/2022,30,5,2022,Sampah,aa 9569 fa,750,Kabupaten Wonosobo,Kendaraan Khusus
25403,30/05/2022,30,5,2022,Sampah,aa 9580 fa,1180,Kabupaten Wonosobo,Kendaraan Khusus
25404,30/05/2022,30,5,2022,Sampah,aa 9848 da,200,Kabupaten Kebumen,Kendaraan Khusus
25408,30/05/2022,30,5,2022,Sampah,aa 9578 fa,1790,Kabupaten Wonosobo,Kendaraan Khusus
25409,30/05/2022,30,5,2022,Sampah,aa 9569 ga,1050,Kabupaten Magelang,Kendaraan Khusus
25412,30/05/2022,30,5,2022,Sampah,aa 9537 ha,480,Kota Magelang,Kendaraan Khusus
25413,30/05/2022,30,5,2022,Sampah,aa 9571 fa,970,Kabupaten Wonosobo,Kendaraan Khusus
25414,30/05/2022,30,5,2022,Sampah,aa 9530 kh,2660,Kabupaten Magelang,Kendaraan Khusus
25415,30/05/2022,30,5,2022,Sampah,aa 9829 da,530,Kabupaten Kebumen,Kendaraan Khusus
25419,30/05/2022,30,5,2022,Sampah,aa 9530 ha,3730,Kota Magelang,Kendaraan Khusus
25423,30/05/2022,30,5,2022,Sampah,aa 9532 ha,3040,Kota Magelang,Kendaraan Khusus
25426,30/05/2022,30,5,2022,Sampah,aa 9582 fa,1340,Kabupaten Wonosobo,Kendaraan Khusus
25428,30/05/2022,30,5,2022,Sampah,aa 9846 da,450,Kabupaten Kebumen,Kendaraan Khusus
25429,30/05/2022,30,5,2022,Sampah,aa 9568 fa,1270,Kabupaten Wonosobo,Kendaraan Khusus
25435,29/05/2022,29,5,2022,Sampah,aa 9530 kh,2130,Kabupaten Magelang,Kendaraan Khusus
25443,29/05/2022,29,5,2022,Sampah,aa 9538 ha,2870,Kota Magelang,Kendaraan Khusus
25444,29/05/2022,29,5,2022,Sampah,aa 9549 ha,3870,Kota Magelang,Kendaraan Khusus
25448,28/05/2022,28,5,2022,Sampah,aa 9532 da,340,Kabupaten Kebumen,Kendaraan Khusus
25449,28/05/2022,28,5,2022,Sampah,aa 9532 ha,1910,Kota Magelang,Kendaraan Khusus
25451,28/05/2022,28,5,2022,Sampah,aa 9579 fa,1140,Kabupaten Wonosobo,Kendaraan Khusus
25452,28/05/2022,28,5,2022,Sampah Terpilah,aa 1917 dh,940,Kabupaten Kebumen,Mobil Pribadi
25453,28/05/2022,28,5,2022,Sampah,aa 9849 da,630,Kabupaten Kebumen,Kendaraan Khusus
25454,28/05/2022,28,5,2022,Sampah,ab 9699 we,705,Kabupaten Gunungkidul,Kendaraan Khusus
25455,28/05/2022,28,5,2022,Sampah,aa 9873 da,650,Kabupaten Kebumen,Kendaraan Khusus
25456,28/05/2022,28,5,2022,Sampah,aa 9831 da,310,Kabupaten Kebumen,Kendaraan Khusus
25459,28/05/2022,28,5,2022,Sampah,aa 9873 da,210,Kabupaten Kebumen,Kendaraan Khusus
25461,28/05/2022,28,5,2022,Sampah,aa 2331 ya,150,Kabupaten Temanggung,Sepeda Motor
25462,28/05/2022,28,5,2022,Sampah,aa 9578 fa,1910,Kabupaten Wonosobo,Kendaraan Khusus
25463,28/05/2022,28,5,2022,Sampah,aa 9577 fa,1690,Kabupaten Wonosobo,Kendaraan Khusus
25464,28/05/2022,28,5,2022,Sampah,aa 9530 kh,2340,Kabupaten Magelang,Kendaraan Khusus
25465,28/05/2022,28,5,2022,Sampah,aa 9537 ha,270,Kota Magelang,Kendaraan Khusus
25466,28/05/2022,28,5,2022,Sampah,aa 9848 da,140,Kabupaten Kebumen,Kendaraan Khusus
25467,28/05/2022,28,5,2022,Sampah,aa 9580 fa,580,Kabupaten Wonosobo,Kendaraan Khusus
25468,28/05/2022,28,5,2022,Sampah,aa 1737 jh,385,Kabupaten Kebumen,Mobil Pribadi
25470,28/05/2022,28,5,2022,Sampah,aa 9582 fa,1180,Kabupaten Wonosobo,Kendaraan Khusus
25473,28/05/2022,28,5,2022,Sampah,aa 1734 ah,230,Kota Magelang,Mobil Pribadi
25474,28/05/2022,28,5,2022,Sampah,aa 9537 ha,230,Kota Magelang,Kendaraan Khusus
25476,28/05/2022,28,5,2022,Sampah,aa 9536 ha,1010,Kota Magelang,Kendaraan Khusus
25479,28/05/2022,28,5,2022,Sampah,aa 9538 ha,3480,Kota Magelang,Kendaraan Khusus
25481,28/05/2022,28,5,2022,Sampah,aa 9569 fa,340,Kabupaten Wonosobo,Kendaraan Khusus
25482,28/05/2022,28,5,2022,Sampah,aa 9530 ha,4140,Kota Magelang,Kendaraan Khusus
25484,28/05/2022,28,5,2022,Sampah,aa 9568 fa,1170,Kabupaten Wonosobo,Kendaraan Khusus
25485,28/05/2022,28,5,2022,Sampah,aa 9549 ha,3720,Kota Magelang,Kendaraan Khusus
25490,28/05/2022,28,5,2022,Sampah,aa 9532 ha,2510,Kota Magelang,Kendaraan Khusus
25491,28/05/2022,28,5,2022,Sampah,aa 9829 da,510,Kabupaten Kebumen,Kendaraan Khusus
25493,27/05/2022,27,5,2022,Sampah,aa 9574 fa,260,Kabupaten Wonosobo,Kendaraan Khusus
25494,27/05/2022,27,5,2022,Sampah,aa 1737 jh,175,Kabupaten Kebumen,Mobil Pribadi
25495,27/05/2022,27,5,2022,Sampah,aa 9578 fa,2080,Kabupaten Wonosobo,Kendaraan Khusus
25496,27/05/2022,27,5,2022,Sampah,aa 9847 da,530,Kabupaten Kebumen,Kendaraan Khusus
25498,27/05/2022,27,5,2022,Sampah,aa 9873 da,470,Kabupaten Kebumen,Kendaraan Khusus
25500,27/05/2022,27,5,2022,Sampah,aa 9580 fa,1000,Kabupaten Wonosobo,Kendaraan Khusus
25502,27/05/2022,27,5,2022,Sampah Terpilah,aa 1898 ha,770,Kota Magelang,Mobil Pribadi
25503,27/05/2022,27,5,2022,Sampah,aa 9876 da,400,Kabupaten Kebumen,Kendaraan Khusus
25504,27/05/2022,27,5,2022,Sampah,aa 9569 fa,830,Kabupaten Wonosobo,Kendaraan Khusus
25507,27/05/2022,27,5,2022,Sampah,aa 9530 kh,2640,Kabupaten Magelang,Kendaraan Khusus
25508,27/05/2022,27,5,2022,Sampah,aa 9568 fa,1550,Kabupaten Wonosobo,Kendaraan Khusus
25515,27/05/2022,27,5,2022,Sampah,aa 9848 da,490,Kabupaten Kebumen,Kendaraan Khusus
25519,27/05/2022,27,5,2022,Sampah,aa 9530 ha,3220,Kota Magelang,Kendaraan Khusus
25521,27/05/2022,27,5,2022,Sampah,aa 9532 ha,2860,Kota Magelang,Kendaraan Khusus
25523,27/05/2022,27,5,2022,Sampah,aa 9571 fa,1130,Kabupaten Wonosobo,Kendaraan Khusus
25525,27/05/2022,27,5,2022,Sampah,aa 9829 da,420,Kabupaten Kebumen,Kendaraan Khusus
25530,27/05/2022,27,5,2022,Sampah,aa 9582 fa,660,Kabupaten Wonosobo,Kendaraan Khusus
25532,26/05/2022,26,5,2022,Sampah,aa 9538 ha,2380,Kota Magelang,Kendaraan Khusus
25534,26/05/2022,26,5,2022,Sampah,aa 9579 fa,1290,Kabupaten Wonosobo,Kendaraan Khusus
25536,26/05/2022,26,5,2022,Sampah,aa 9580 fa,1290,Kabupaten Wonosobo,Kendaraan Khusus
25538,26/05/2022,26,5,2022,Sampah,aa 9848 da,220,Kabupaten Kebumen,Kendaraan Khusus
25539,26/05/2022,26,5,2022,Sampah,aa 9578 fa,1820,Kabupaten Wonosobo,Kendaraan Khusus
25542,26/05/2022,26,5,2022,Sampah,aa 9849 da,450,Kabupaten Kebumen,Kendaraan Khusus
25543,26/05/2022,26,5,2022,Sampah,aa 9577 fa,1200,Kabupaten Wonosobo,Kendaraan Khusus
25544,26/05/2022,26,5,2022,Sampah,aa 9876 da,360,Kabupaten Kebumen,Kendaraan Khusus
25546,26/05/2022,26,5,2022,Sampah,aa 9873 da,410,Kabupaten Kebumen,Kendaraan Khusus
25547,26/05/2022,26,5,2022,Sampah Terpilah,aa 1898 ha,1480,Kota Magelang,Mobil Pribadi
25549,26/05/2022,26,5,2022,Sampah,aa 9530 kh,2270,Kabupaten Magelang,Kendaraan Khusus
25550,26/05/2022,26,5,2022,Sampah,aa 1902 wd,200,Kabupaten Kebumen,Mobil Pribadi
25551,26/05/2022,26,5,2022,Sampah Terpilah,aa 1931 fh,700,Kabupaten Wonosobo,Mobil Pribadi
25552,26/05/2022,26,5,2022,Sampah,aa 9571 fa,950,Kabupaten Wonosobo,Kendaraan Khusus
25554,26/05/2022,26,5,2022,Sampah,aa 9582 fa,500,Kabupaten Wonosobo,Kendaraan Khusus
25555,26/05/2022,26,5,2022,Sampah,aa 9831 da,460,Kabupaten Kebumen,Kendaraan Khusus
25556,26/05/2022,26,5,2022,Sampah,aa 9829 da,310,Kabupaten Kebumen,Kendaraan Khusus
25557,26/05/2022,26,5,2022,Sampah,aa 9530 ha,4090,Kota Magelang,Kendaraan Khusus
25558,26/05/2022,26,5,2022,Sampah,aa 9568 fa,1320,Kabupaten Wonosobo,Kendaraan Khusus
25560,26/05/2022,26,5,2022,Sampah,aa 9538 ha,3820,Kota Magelang,Kendaraan Khusus
25561,26/05/2022,26,5,2022,Sampah,aa 9549 ha,4040,Kota Magelang,Kendaraan Khusus
25563,26/05/2022,26,5,2022,Sampah Terpilah,aa 1692 ka,510,Kabupaten Magelang,Mobil Pribadi
25564,26/05/2022,26,5,2022,Sampah,aa 9569 ga,150,Kabupaten Magelang,Kendaraan Khusus
25566,26/05/2022,26,5,2022,Sampah,aa 9532 ha,2020,Kota Magelang,Kendaraan Khusus
25572,25/05/2022,25,5,2022,Sampah,ab 9699 we,1415,Kabupaten Gunungkidul,Kendaraan Khusus
25574,25/05/2022,25,5,2022,Sampah,aa 9541 ha,1120,Kota Magelang,Kendaraan Khusus
25575,25/05/2022,25,5,2022,Sampah,aa 1975 qh,870,Kabupaten Purworejo,Mobil Pribadi
25577,25/05/2022,25,5,2022,Sampah Terpilah,aa 1856 qk,440,Kabupaten Purworejo,Mobil Pribadi
25578,25/05/2022,25,5,2022,Sampah,aa 9574 fa,490,Kabupaten Wonosobo,Kendaraan Khusus
25579,25/05/2022,25,5,2022,Sampah,aa 9532 ha,2450,Kota Magelang,Kendaraan Khusus
25580,25/05/2022,25,5,2022,Sampah Terpilah,aa 1898 ha,570,Kota Magelang,Mobil Pribadi
25581,25/05/2022,25,5,2022,Sampah,aa 9876 da,310,Kabupaten Kebumen,Kendaraan Khusus
25582,25/05/2022,25,5,2022,Sampah Terpilah,aa 1902 wd,1020,Kabupaten Kebumen,Mobil Pribadi
25583,25/05/2022,25,5,2022,Sampah,aa 9831 da,170,Kabupaten Kebumen,Kendaraan Khusus
25584,25/05/2022,25,5,2022,Sampah,aa 9579 fa,1370,Kabupaten Wonosobo,Kendaraan Khusus
25587,25/05/2022,25,5,2022,Sampah,aa 9578 fa,1180,Kabupaten Wonosobo,Kendaraan Khusus
25588,25/05/2022,25,5,2022,Sampah,aa 9569 ga,1240,Kabupaten Magelang,Kendaraan Khusus
25589,25/05/2022,25,5,2022,Sampah,aa 9664 da,440,Kabupaten Kebumen,Kendaraan Khusus
25591,25/05/2022,25,5,2022,Sampah,aa 9580 fa,1400,Kabupaten Wonosobo,Kendaraan Khusus
25593,25/05/2022,25,5,2022,Sampah,aa 9876 da,370,Kabupaten Kebumen,Kendaraan Khusus
25594,25/05/2022,25,5,2022,Sampah,aa 1734 ah,320,Kota Magelang,Mobil Pribadi
25595,25/05/2022,25,5,2022,Sampah,aa 9577 fa,1530,Kabupaten Wonosobo,Kendaraan Khusus
25596,25/05/2022,25,5,2022,Sampah,aa 9569 ga,2290,Kabupaten Magelang,Kendaraan Khusus
25597,25/05/2022,25,5,2022,Sampah,aa 9876 da,470,Kabupaten Kebumen,Kendaraan Khusus
25598,25/05/2022,25,5,2022,Sampah,aa 9568 fa,1560,Kabupaten Wonosobo,Kendaraan Khusus
25599,25/05/2022,25,5,2022,Sampah,aa 9849 da,680,Kabupaten Kebumen,Kendaraan Khusus
25600,25/05/2022,25,5,2022,Sampah,aa 9578 fa,1920,Kabupaten Wonosobo,Kendaraan Khusus
25602,25/05/2022,25,5,2022,Sampah,aa 9530 kh,3280,Kabupaten Magelang,Kendaraan Khusus
25603,25/05/2022,25,5,2022,Sampah,aa 9537 ha,560,Kota Magelang,Kendaraan Khusus
25605,25/05/2022,25,5,2022,Sampah,aa 9569 fa,660,Kabupaten Wonosobo,Kendaraan Khusus
25606,25/05/2022,25,5,2022,Sampah,aa 2331 ya,150,Kabupaten Temanggung,Sepeda Motor
25607,25/05/2022,25,5,2022,Sampah,aa 9848 da,110,Kabupaten Kebumen,Kendaraan Khusus
25612,25/05/2022,25,5,2022,Sampah,aa 9536 ha,570,Kota Magelang,Kendaraan Khusus
25614,25/05/2022,25,5,2022,Sampah,aa 9531 ha,3710,Kota Magelang,Kendaraan Khusus
25619,25/05/2022,25,5,2022,Sampah,aa 9848 da,450,Kabupaten Kebumen,Kendaraan Khusus
25621,25/05/2022,25,5,2022,Sampah,aa 9538 ha,3700,Kota Magelang,Kendaraan Khusus
25622,25/05/2022,25,5,2022,Sampah,aa 9530 ha,3550,Kota Magelang,Kendaraan Khusus
25623,25/05/2022,25,5,2022,Sampah,aa 9532 ha,2370,Kota Magelang,Kendaraan Khusus
25625,25/05/2022,25,5,2022,Sampah,aa 9582 fa,690,Kabupaten Wonosobo,Kendaraan Khusus
25627,25/05/2022,25,5,2022,Sampah,aa 9829 da,430,Kabupaten Kebumen,Kendaraan Khusus
25630,24/05/2022,24,5,2022,Sampah,aa 9577 fa,1420,Kabupaten Wonosobo,Kendaraan Khusus
25631,24/05/2022,24,5,2022,Sampah,ab 9699 we,465,Kabupaten Gunungkidul,Kendaraan Khusus
25632,24/05/2022,24,5,2022,Sampah,aa 9574 fa,310,Kabupaten Wonosobo,Kendaraan Khusus
25633,24/05/2022,24,5,2022,Sampah,aa 9532 ha,660,Kota Magelang,Kendaraan Khusus
25636,24/05/2022,24,5,2022,Sampah Terpilah,aa 1898 ha,850,Kota Magelang,Mobil Pribadi
25640,24/05/2022,24,5,2022,Sampah,aa 9579 fa,1320,Kabupaten Wonosobo,Kendaraan Khusus
25641,24/05/2022,24,5,2022,Sampah,aa 1737 jh,745,Kabupaten Kebumen,Mobil Pribadi
25642,24/05/2022,24,5,2022,Sampah,aa 9849 da,250,Kabupaten Kebumen,Kendaraan Khusus
25643,24/05/2022,24,5,2022,Sampah,aa 9829 da,670,Kabupaten Kebumen,Kendaraan Khusus
25645,24/05/2022,24,5,2022,Sampah,aa 1223 ha,100,Kota Magelang,Mobil Pribadi
25646,24/05/2022,24,5,2022,Sampah,aa 9537 ha,760,Kota Magelang,Kendaraan Khusus
25649,24/05/2022,24,5,2022,Sampah,aa 9536 ha,570,Kota Magelang,Kendaraan Khusus
25650,24/05/2022,24,5,2022,Sampah,aa 9873 da,520,Kabupaten Kebumen,Kendaraan Khusus
25654,24/05/2022,24,5,2022,Sampah,aa 9537 ha,210,Kota Magelang,Kendaraan Khusus
25655,24/05/2022,24,5,2022,Sampah,aa 9848 da,290,Kabupaten Kebumen,Kendaraan Khusus
25657,24/05/2022,24,5,2022,Sampah,aa 9530 kh,2730,Kabupaten Magelang,Kendaraan Khusus
25658,24/05/2022,24,5,2022,Sampah,aa 9578 fa,1880,Kabupaten Wonosobo,Kendaraan Khusus
25660,24/05/2022,24,5,2022,Sampah,aa 9569 ga,1340,Kabupaten Magelang,Kendaraan Khusus
25661,24/05/2022,24,5,2022,Sampah Terpilah,aa 1902 wd,1010,Kabupaten Kebumen,Mobil Pribadi
25664,24/05/2022,24,5,2022,Sampah,aa 9577 fa,720,Kabupaten Wonosobo,Kendaraan Khusus
25665,24/05/2022,24,5,2022,Sampah,aa 9568 fa,1280,Kabupaten Wonosobo,Kendaraan Khusus
25669,24/05/2022,24,5,2022,Sampah,aa 9569 fa,330,Kabupaten Wonosobo,Kendaraan Khusus
25677,24/05/2022,24,5,2022,Sampah,aa 9532 ha,2290,Kota Magelang,Kendaraan Khusus
25678,24/05/2022,24,5,2022,Sampah Terpilah,aa 9571 fa,460,Kabupaten Wonosobo,Kendaraan Khusus
25679,24/05/2022,24,5,2022,Sampah,aa 9582 fa,640,Kabupaten Wonosobo,Kendaraan Khusus
25682,23/05/2022,23,5,2022,Sampah,aa 9574 fa,380,Kabupaten Wonosobo,Kendaraan Khusus
25683,23/05/2022,23,5,2022,Sampah Terpilah,aa 1692 ka,1570,Kabupaten Magelang,Mobil Pribadi
25684,23/05/2022,23,5,2022,Sampah,aa 9532 ha,2500,Kota Magelang,Kendaraan Khusus
